volumn	rate	time
1271	95.04%	138.9
1321	96.06%	226.17
1244	95.82%	106.65
1355	94.98%	165.92
1240	96.61%	205.76
1209	97.27%	109.61
1206	96.43%	146.58
1186	95.87%	245.1
1146	95.81%	108.96
1136	96.57%	181.61
1185	96.54%	107.57
1200	95%	76.38
1236	95.63%	110.17
1174	95.14%	145.93
1226	94.94%	139.69
1274	96.23%	111.03
1221	96.31%	172.1
1221	96.56%	74.13
1162	96.13%	145.97
1261	96.51%	73.4
1213	95.71%	77.09
1183	96.20%	78.28
1194	96.40%	177.08
1226	96.49%	80.32
1125	95.82%	113.06
1199	95.91%	76.94
1160	95.86%	211.53
1175	95.74%	74.28
1179	95.76%	110.38
1165	95.97%	75.16
1146	95.81%	179.68
1074	95.07%	227.68
1173	94.88%	80.02
1074	95.25%	157.12
1060	96.51%	125.73
1150	95.22%	3592.25
1102	95.92%	117.3
1103	96.37%	114.19
1097	96.35%	117.97
1104	95.56%	150.51
1059	96.03%	83.51
1092	96.98%	152.2
1035	96.23%	155.04
1039	95%	153.98
1023	95.41%	155.07
1070	95.79%	152.71
1111	95.41%	118.1
1080	97.31%	154.34
1102	95.83%	190
1060	96.51%	118.84
1082	96.12%	152.88
1046	96.08%	237.46
1014	94.87%	199.49
1029	96.79%	119.91
1060	95.47%	120.24
1069	96.54%	154.4
1037	96.14%	81.89
1016	95.67%	119.55
1050	94.76%	202.16
1036	95.85%	79.83
1038	96.24%	196.06
1004	96.81%	162.16
956	96.34%	80.45
978	95.60%	78.27
1056	95.36%	120.06
1027	95.91%	157.6
926	96.22%	79.66
1011	96.04%	159.46
1020	96.76%	239.41
959	96.56%	211.32
968	96.18%	79.53
1003	95.21%	84.91
974	95.48%	208.38
990	95.05%	123.75
1008	94.84%	197.43
1012	94.96%	117.3
911	96.60%	254.98
953	95.38%	205.13
983	95.22%	119.54
1000	95.80%	120.74
969	95.98%	81.14
1105	97.38%	191.27
1061	95.95%	78.31
1037	96.53%	119.82
989	96.16%	165.71
1023	96.09%	159.8
918	96.51%	82.7
1076	96.84%	83.91
972	96.50%	123.42
932	96.78%	213.24
928	96.23%	168.33
1012	95.45%	85.05
937	94.77%	125.23
972	96.91%	80.98
961	96.05%	78.13
944	94.81%	4359.9
960	96.46%	162.15
1034	95.65%	154.92
1048	95.04%	214.38
982	94.60%	165.48
982	95.93%	225.75
945	95.77%	164.45
947	94.19%	78.32
956	97.38%	163.93
961	95.21%	120.57
966	95.34%	122.99
949	94.52%	81.76
888	96.40%	219.05
884	96.04%	126.3
977	95.80%	163.93
957	96.24%	204.85
962	95.01%	122.44
959	97.18%	120.46
940	97.23%	126.54
918	95.97%	82.92
985	96.14%	122.92
964	95.64%	81.74
915	95.41%	171.14
873	95.07%	216.74
908	96.59%	170.57
901	96.89%	302.87
981	94.50%	162.94
953	96.75%	77.05
996	95.28%	121.09
936	94.02%	122.18
941	95.86%	80.03
991	96.67%	163.6
897	96.43%	220.52
900	95.11%	130.37
866	94.57%	227.18
912	95.61%	123.4
975	94.77%	121.16
903	95.79%	123.62
887	94.93%	170.26
927	95.25%	85.03
871	94.60%	128.32
869	95.05%	171.75
832	95.43%	79.37
819	95.85%	179.06
875	95.89%	170.31
835	96.29%	224.38
876	97.03%	171.61
848	98%	134.27
857	95.45%	130.45
774	96.25%	81.53
816	94.85%	86.02
813	96.92%	133.15
859	95.46%	128.81
749	95.99%	86.36
786	96.18%	135.89
778	95.63%	135.59
791	94.31%	340.1
706	95.18%	145.38
756	94.71%	88.67
727	95.87%	84.14
775	95.87%	10509.45
674	97.48%	87.89
773	95.73%	87.27
746	95.44%	246.32
726	96.56%	83.96
758	97.23%	84.59
702	94.87%	199.34
757	96.04%	193.17
752	95.61%	143.04
719	94.71%	140.73
672	95.98%	142.41
725	96.69%	140.06
718	95.96%	138.06
722	96.26%	198.32
750	96.93%	79.39
758	94.85%	82.97
711	94.37%	84.97
704	95.17%	84.76
771	95.98%	81.72
729	96.02%	83.13
632	96.52%	149.83
656	94.97%	85.96
664	95.93%	262.69
701	95.72%	138.69
681	96.04%	146.21
645	95.50%	155.02
631	95.40%	86.87
677	96.31%	83.5
655	94.81%	207.27
654	95.41%	85.64
694	94.81%	91.66
644	96.43%	208.59
638	95.14%	85.28
534	95.88%	315.04
659	96.36%	208.15
585	95.56%	83.79
622	95.82%	150.54
589	95.93%	86.91
589	95.59%	157.18
597	96.15%	85.22
605	96.03%	151.86
685	95.77%	145.42
648	96.30%	86.15
638	97.49%	149.85
621	96.14%	84.83
661	96.37%	92.73
563	96.09%	228.06
651	95.08%	144.7
574	96.17%	88.13
557	96.05%	156.42
